iter	Passed	Remaining
0	1	1483
1	4	2366
2	11	3759
3	15	3845
4	17	3556
5	19	3202
6	21	2983
7	22	2744
8	24	2656
9	25	2547
10	27	2479
11	30	2477
12	31	2392
13	33	2347
14	34	2294
15	36	2265
16	38	2220
17	40	2209
18	42	2218
19	44	2190
20	45	2138
21	47	2120
22	48	2076
23	50	2063
24	52	2029
25	54	2026
26	56	2019
27	57	2010
28	59	1997
29	61	1978
30	63	1992
31	65	1974
32	66	1953
33	67	1929
34	70	1942
35	73	1962
36	75	1953
37	76	1938
38	78	1939
39	80	1937
40	82	1930
41	84	1931
42	86	1925
43	88	1923
44	90	1921
45	92	1921
46	94	1912
47	96	1909
48	97	1896
49	99	1888
50	100	1875
51	101	1859
52	104	1873
53	106	1872
54	108	1871
55	110	1864
56	112	1857
57	114	1854
58	115	1845
59	118	1856
60	121	1866
61	122	1858
62	124	1853
63	126	1854
64	128	1844
65	129	1838
66	131	1831
67	133	1823
68	135	1826
69	136	1818
70	138	1811
71	139	1803
72	141	1796
73	143	1795
74	145	1795
75	147	1787
76	149	1790
77	151	1788
78	153	1789
79	154	1776
80	155	1768
81	157	1760
82	158	1753
83	160	1754
84	166	1787
85	168	1785
86	169	1781
87	172	1787
88	174	1784
89	176	1783
90	178	1780
91	180	1786
92	182	1777
93	183	1773
94	185	1766
95	186	1759
96	188	1757
97	195	1796
98	196	1789
99	203	1830
100	207	1851
101	213	1879
102	218	1899
103	219	1894
104	225	1918
105	226	1911
106	228	1906
107	231	1908
108	233	1906
109	235	1907
110	239	1916
111	241	1912
112	245	1927
113	249	1936
114	255	1968
115	259	1979
116	263	1989
117	266	1991
118	268	1988
119	273	2008
120	278	2022
121	284	2044
122	286	2042
123	291	2061
124	293	2055
125	295	2050
126	298	2052
127	302	2061
128	309	2092
129	314	2106
130	320	2125
131	323	2126
132	326	2129
133	330	2137
134	336	2154
135	339	2159
136	346	2181
137	350	2188
138	353	2186
139	354	2180
140	356	2170
141	358	2165
142	361	2168
143	364	2169
